cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
304,104,1280,4096,8,0,14.1805,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,76.9,418.54,0.0
304,104,1536,7168,8,0,23.4656,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,97.59,514.58,0.0
304,104,1792,6144,8,0,20.2852,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,112.89,592.64,0.0
304,104,2112,7168,8,0,23.899,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,131.76,683.02,0.0
304,104,2304,4096,8,0,14.8575,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,132.12,696.11,0.0
304,104,3072,1536,8,0,8.2917,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,118.37,665.4,0.0
304,104,3584,6144,18,0,23.4028,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,195.71,1000.07,0.0
304,104,4096,512,13,0,4.7129,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,92.56,637.05,0.0
304,104,4096,1024,13,0,6.9322,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,125.85,743.31,0.0
304,104,4096,2048,8,0,11.201,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,155.77,843.99,0.0
304,104,4608,7168,18,0,26.6314,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,257.98,1304.25,0.0
304,104,6144,1536,18,0,10.0548,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,195.22,1081.56,0.0
